Blocks,TPB,Accuracy,Kernel Time, Malloc Time,Total Time,Kernel Speedup,Total Speedup
1,32,1,244939805,389890808,634830613,1,1
2,32,1,61151702,348636307,409788009,4.005445425,1.549168348
3,32,1,42381001,347154507,389535508,5.779471915,1.629711798
4,32,1,33077201,348760907,381838108,7.405094675,1.66256484
5,32,1,47314801,355423507,402738308,5.17681148,1.576285644
6,32,1,48504401,358480807,406985208,5.049847023,1.559837067
7,32,1,42422601,357355407,399778008,5.77380451,1.587957817
8,32,1,39743001,354497107,394240108,6.163092842,1.610263898
9,32,1,35957801,352712107,388669908,6.811868306,1.633341301
10,32,1,33883001,352564607,386447608,7.228987922,1.642733969
11,32,1,31464200,295989106,327453306,7.784714215,1.938690498
12,32,1,30008200,352157107,382165307,8.162429103,1.6611414
13,32,1,28271601,329871206,358142807,8.663810903,1.772562789
14,32,1,27154600,349701808,376856408,9.020195657,1.68454244
15,32,1,25347100,356376308,381723408,9.663425204,1.663064407
16,32,1,25783200,358779707,384562907,9.499976923,1.65078483
17,32,1,24977801,356693707,381671508,9.806299802,1.663290551
18,32,1,24353101,356523908,380877009,10.05784869,1.66676013
19,32,1,23571901,364639208,388211109,10.3911774,1.63527163
20,32,1,22889800,356532208,379422008,10.70082766,1.673151793
21,32,1,22101100,361715808,383816908,11.08269747,1.653993349
22,32,1,22357500,356787708,379145208,10.95559902,1.6743733
23,32,1,21494700,361020708,382515408,11.39535816,1.659621024
24,32,1,22220600,351337108,373557708,11.02309591,1.699417786
25,32,1,21643500,359143808,380787308,11.31701458,1.667152764
26,32,1,21630400,362188508,383818908,11.32386849,1.65398473
27,32,1,20866100,352630308,373496408,11.73864809,1.699696702
28,32,1,20842300,362023608,382865908,11.75205256,1.6581017
29,32,1,20002901,357642807,377645708,12.24521408,1.681021655
30,32,1,20187501,353572708,373760209,12.13324051,1.698497052
31,32,1,20405700,352874008,373279708,12.00349927,1.700683427
32,32,1,20350800,353310708,373661508,12.0358809,1.698945702
