Blocks,TPB,Accuracy,Kernel Time, Malloc Time,Total Time,Kernel Speedup,Total Speedup
1,1,1,3670306854,388943616,4059250470,1,1
1,2,1,1783601489,349211317,2132812806,2.057806565,1.903238043
1,3,1,1193295859,350472318,1543768177,3.075772723,2.629443028
1,4,1,896145044,349948318,1246093362,4.09566161,3.257581329
1,5,1,719893136,355029017,1074922153,5.098405125,3.776320414
1,6,1,600027530,355332018,955359548,6.116897426,4.248924375
1,7,1,515311728,349252017,864563745,7.122498198,4.695143063
1,8,1,452924724,353669919,806594643,8.103569224,5.032578018
1,9,1,403292321,352137119,755429440,9.100859756,5.373434308
1,10,1,363310920,351630418,714941338,10.10238518,5.677739213
1,11,1,331141217,351906819,683048036,11.08381158,5.94284773
1,12,1,303052016,352787618,655839634,12.11114482,6.189394876
1,13,1,282722514,351080619,633803133,12.98201124,6.404591992
1,14,1,263886214,341250118,605136332,13.90867222,6.707993315
1,15,1,245653913,349991018,595644931,14.94096637,6.814882926
1,16,1,231687912,351770718,583458630,15.84159839,6.95722072
1,17,1,219008611,354639819,573648430,16.75873308,7.076199041
1,18,1,207157417,346264025,553421442,17.7174774,7.334826882
1,19,1,196275616,354902129,551177745,18.6997597,7.364684998
1,20,1,186446416,352091229,538537645,19.68558545,7.537542654
1,21,1,177847415,338266928,516114343,20.63739219,7.865021628
1,22,1,169888814,355774829,525663643,21.60417021,7.722144234
1,23,1,162919113,361314130,524233243,22.52839944,7.743214541
1,24,1,156317913,347963828,504281741,23.47975855,8.049568604
1,25,1,150745913,356018329,506764242,24.34763756,8.010135944
1,26,1,145700812,350535129,496235941,25.19070967,8.180081559
1,27,1,139947112,354599329,494546441,26.22638511,8.208026857
1,28,1,135283512,349131728,484415240,27.13048175,8.379691915
1,29,1,130591911,337385028,467976939,28.1051623,8.674039534
1,30,1,126663511,361156730,487820241,28.97682865,8.321201395
1,31,1,122846410,352376829,475223239,29.87720076,8.541776026
1,32,1,119206608,356421925,475628533,30.78945803,8.534497383
