Blocks,TPB,Accuracy,Kernel Time, Malloc Time,Total Time,Kernel Speedup
1,32,0.917877,208366419995,1377330,208367797325,1.00000000000000000000
2,32,0.831831,112908225794,1632647,112909858441,1.84544942168485209277
3,32,0.92284,93221257504,1359209,93222616713,2.23518139074726893098
4,32,0.919491,78558318932,1360563,78559679495,2.65237880376948695473
5,32,0.890557,67893184973,1374155,67894559128,3.06903292396525349263
6,32,0.918509,61638956898,1071710,61640028608,3.38043390870167155306
7,32,0.920051,57433564226,1063636,57434627862,3.62795558316879026006
8,32,0.827906,54840292619,1062907,54841355526,3.79951327835929977717
9,32,0.873529,53388263401,1105302,53389368703,3.90285067768466035781
10,32,0.791986,51954225616,1106761,51955332377,4.01057695547348835303
11,32,0.890294,51168095211,1382748,51169477959,4.07219418928469050999
12,32,0.913257,50167775384,1124834,50168900218,4.15339166227917426445
13,32,0.906234,49429179164,1076604,49430255768,4.21545377688076875789
14,32,0.813089,48942547002,1102906,48943649908,4.25736772519185126490
15,32,0.880011,48443380849,1093479,48444474328,4.30123613057657259135
16,32,0.858594,48137435066,1348922,48138783988,4.32857337972648847904
17,32,0.757551,57492925789,1111155,57494036944,3.62420971163840659554
18,32,0.898166,55192299069,1091515,55193390584,3.77528067338716282748
19,32,0.884994,54907356806,1075992,54908432798,3.79487252921690021736
20,32,0.911329,54243852026,1113177,54244965203,3.84129098897929362181
21,32,0.90862,52937059053,1130415,52938189468,3.93611628077762758068
22,32,0.906486,52052081174,1445256,52053526430,4.00303725221805287888
23,32,0.888517,50999393527,1085882,51000479409,4.08566466353540173148
24,32,0.897546,50219942801,1200776,50221143577,4.14907720665207374137
25,32,0.897703,49979066286,1167130,49980233416,4.16907388390661140411
26,32,0.765506,49640082188,1099733,49641181921,4.19754381561782598714
27,32,0.914074,49573194417,1112129,49574306546,4.20320744800632564004
28,32,0.823831,48968176745,1110566,48969287311,4.25513943637437342777
29,32,0.873743,48754785709,2507797,48757293506,4.27376342578275611552
30,32,0.806194,48434242800,1114004,48435356804,4.30204764128159344322
31,32,0.90096,48432509542,1192492,48433702034,4.30220159899638346929
32,32,0.8485,48155584872,1101971,48156686843,4.32694194347028633883
33,32,0.751586,53035693775,1112448,53036806223,3.92879597048318238955
34,32,0.858963,51978552049,1122187,51979674236,4.00869996914445984397
35,32,0.901386,52022568367,1187810,52023756177,4.00530820633560204630
36,32,0.845097,51629237927,1113173,51630351100,4.03582211090574325532
37,32,0.906897,51196411091,1138069,51197549160,4.06994192668379204690
38,32,0.865669,51707062983,1113902,51708176885,4.02974773607825514114
