Blocks,TPB,Accuracy,Kernel Time, Malloc Time,Total Time,Kernel Speedup
1,32,0.923546,158480036478,1606074,158481642552,1.00000000000000000000
2,32,0.776529,71516378738,1531334,71517910072,2.21599638117292056785
3,32,0.920026,47360567241,1605811,47362173052,3.34624447531540493273
4,32,0.917986,37733464654,1849557,37735314211,4.19998634981429023376
5,32,0.878786,31713642411,1475447,31715117858,4.99721963261560217508
6,32,0.924094,27576979593,1516228,27578495821,5.74682357593025760629
7,32,0.920057,24018374122,1523206,24019897328,6.59828328399788592484
8,32,0.886317,22135913803,1607063,22137520866,7.15940791459541084119
9,32,0.905437,21709271400,1624556,21710895956,7.30010849088191877319
10,32,0.883354,20480999360,1690174,20482689534,7.73790544554755554662
11,32,0.92058,20307925007,1610480,20309535487,7.80385176837973538021
12,32,0.884423,19766662694,1707716,19768370410,8.01754139944449238751
13,32,0.908051,19908726348,1582919,19910309267,7.96033024452720253945
14,32,0.900489,20148242132,1621666,20149863798,7.86570041394815216924
15,32,0.839083,18988920875,1922599,18990843474,8.34592115693356903305
16,32,0.841034,19257842385,1550619,19259393004,8.22937654747037748175
17,32,0.727143,27911482988,1739158,27913222146,5.67795113380881315427
18,32,0.917029,25691139969,1739938,25692879907,6.16866502106284951360
19,32,0.906749,24399324156,1603009,24400927165,6.49526337142532776964
20,32,0.914886,23738876364,1640352,23740516716,6.67597042286023845774
21,32,0.91186,22113339748,1858786,22115198534,7.16671648353494107406
22,32,0.915609,21507174879,1639777,21508814656,7.36870543758598504675
23,32,0.85944,20442115275,1617485,20443732760,7.75262414608411897824
24,32,0.80078,19869092278,1651495,19870743773,7.97620919268046292376
25,32,0.902931,19711931419,1741806,19713673225,8.03980254949769922390
26,32,0.916877,19461580651,1724201,19463304852,8.14322532789014620310
27,32,0.915777,19734629548,1613785,19736243333,8.03055543011503404989
28,32,0.897346,19783221651,1875137,19785096788,8.01083055499149045044
29,32,0.887791,19738998063,1692587,19740690650,8.02877815642855712052
30,32,0.903997,19938033800,1668628,19939702428,7.94862914105401907784
31,32,0.88538,19675136585,1646855,19676783440,8.05483793178963590915
32,32,0.876523,20010802264,1641223,20012443487,7.91972427627802179355
33,32,0.732691,24045953346,1774396,24047727742,6.59071546041915871227
