Blocks,TPB,Accuracy,Kernel Time, Malloc Time,Total Time,Kernel Speedup,Total Speedup
1,32,0.996937,32919491096,408820222,33328311318,1,1
2,32,0.995653,19082469353,350739421,19433208774,1.725116938,1.715018436
3,32,0.996048,13692508642,357302221,14049810863,2.404197212,2.372153735
4,32,0.994022,10454171121,337052515,10791223636,3.148933638,3.088464519
5,32,0.993726,8565064168,356157114,8921221282,3.843461117,3.735846278
6,32,0.990416,7162467437,345036416,7507503853,4.596110403,4.439333229
7,32,0.988242,6182354926,339277294,6521632220,5.324749467,5.110424844
8,32,0.989527,5226215612,354104005,5580319617,6.298915609,5.972473551
9,32,0.989675,4629933452,343221982,4973155434,7.110143469,6.701642802
10,32,0.987304,4143215391,357048973,4500264364,7.94539699,7.405856328
11,32,0.972236,3617178989,333651575,3950830564,9.100874244,8.435773384
12,32,0.982067,3424227727,355503082,3779730809,9.613697955,8.817641521
13,32,0.97357,2971606003,368795977,3340401980,11.07801339,9.977335518
14,32,0.975595,3105725093,355983776,3461708869,10.59961526,9.627704865
15,32,0.980684,2827688378,353711298,3181399676,11.64183838,10.47599004
16,32,0.97105,2751057979,351991697,3103049676,11.96612043,10.74050202
17,32,0.966703,2496164463,299429696,2795594159,13.18802971,11.92172734
18,32,0.97683,2427054763,324557095,2751611858,13.56355514,12.11228656
19,32,0.978214,2443002335,351863195,2794865530,13.47501418,11.92483537
20,32,0.974755,2246684934,354809906,2601494840,14.65247334,12.81121562
21,32,0.960725,2369776840,353318606,2723095446,13.89138865,12.23912712
22,32,0.959787,2031250194,300660584,2331910778,16.20651715,14.29227552
23,32,0.970507,2166192587,361156181,2527348768,15.19693646,13.18706454
24,32,0.976238,1916054054,359196110,2275250164,17.18087808,14.64819642
25,32,0.965023,2074584959,356903110,2431488069,15.8679889,13.70696066
26,32,0.968037,1833973252,360615110,2194588362,17.94982073,15.18658893
27,32,0.970062,1964826455,361973111,2326799566,16.75440139,14.32367094
28,32,0.962454,1735761349,352096910,2087858259,18.96544771,15.96291854
29,32,0.959984,1831896447,353740510,2185636957,17.97017028,15.2487865
30,32,0.957761,1857966048,358680409,2216646457,17.71802619,15.03546549
31,32,0.960626,1738571643,362894810,2101466453,18.93479123,15.85954954
32,32,0.965863,1671584336,359803308,2031387644,19.69358673,16.40667226
