Blocks,TPB,Accuracy,Kernel Time, Malloc Time,Total Time,Kernel Speedup,Total Speedup
1,1,0.996196,47154506420,378588712,47533095132,1,1
1,2,0.996443,38584463393,364447936,38948911329,1.22211124,1.220395988
1,3,0.996838,35817213376,357986527,36175199903,1.316531968,1.313969108
1,4,0.996888,34372217767,360743125,34732960892,1.371878496,1.36852989
1,5,0.996542,33649483134,358252719,34007735853,1.401344152,1.397714195
1,6,0.982907,33328332669,358094073,33686426742,1.414847448,1.411045924
1,7,0.997233,33077599401,303008906,33380608307,1.425572208,1.423973305
1,8,0.997135,32864995442,353670903,33218666345,1.434794248,1.430915216
1,9,0.997135,32776109603,364373499,33140483102,1.43868528,1.434290954
1,10,0.996838,33755527363,361067998,34116595361,1.396941778,1.393254357
1,11,0.996986,32910887914,369216501,33280104415,1.432793504,1.428273618
1,12,0.997233,32629851152,341599099,32971450251,1.445133973,1.441644052
1,13,0.996641,32605625192,356695500,32962320692,1.446207706,1.442043343
1,14,0.996492,32688431324,361242299,33049673623,1.442544182,1.438231907
1,15,0.997233,32696574097,358382301,33054956398,1.44218493,1.438002052
1,16,0.997431,32671590888,364561999,33036152887,1.443287735,1.438820534
1,17,0.996641,33113926947,348027900,33461954847,1.424008288,1.420511603
1,18,0.997481,32620433427,370005300,32990438727,1.445551192,1.440814277
1,19,0.981277,32754825643,362367801,33117193444,1.439620132,1.435299619
1,20,0.997431,32860729330,360377300,33221106630,1.434980519,1.430810107
1,21,0.996739,32916936076,357847501,33274783577,1.432530243,1.428502007
1,22,0.996888,32720577764,356309501,33076887265,1.44112695,1.437048618
1,23,0.997777,32958063489,357720700,33315784189,1.43074263,1.426743998
1,24,0.997184,32853461619,353400404,33206862023,1.435297959,1.431423876
1,25,0.983598,32995782364,351920300,33347702664,1.429107087,1.425378402
1,26,0.997135,32939968656,357994800,33297963456,1.431528576,1.427507577
1,27,0.996789,32955470481,360294001,33315764482,1.430855203,1.426744842
1,28,0.996591,33071611773,357251602,33428863375,1.425830309,1.421917778
1,29,0.997184,33175382767,355873800,33531256567,1.42137038,1.417575719
1,30,0.996838,33336417656,354811401,33691229057,1.414504309,1.410844794
1,31,0.997481,33232679509,359693101,33592372610,1.418919784,1.414996663
1,32,0.996937,33239592266,360437998,33600030264,1.418624694,1.414674176
