Blocks,TPB,Accuracy,Kernel Time, Malloc Time,Total Time,Kernel Speedup
1,32,0.906991,161424750696,830114500,162254865196,1.00000000000000000000
2,32,0.898271,76722358430,662498003,77384856433,2.10401184217089505860
3,32,0.90558,54353528445,558289802,54911818247,2.96990380043762400860
4,32,0.842274,45499023682,532917100,46031940782,3.54787284721148228175
5,32,0.891874,33475005045,593263427,34068268472,4.82224724026176767376
6,32,0.894017,28246972849,538604118,28785576967,5.71476283702785386565
7,32,0.894371,26262684675,544513413,26807198088,6.14654414404417700682
8,32,0.901777,22521614303,545892006,23067506309,7.16754796189264976952
9,32,0.891843,16908536020,545996029,17454532049,9.54693833369495935816
10,32,0.90112,15869562551,550534369,16420096920,10.17197230088916519624
11,32,0.893929,13728174931,564208202,14292383133,11.75864610608085789404
12,32,0.890443,12384999289,549497900,12934497189,13.03389260905108155311
13,32,0.885577,9943242893,560416213,10503659106,16.23461806506228732031
14,32,0.877629,10732110096,519392425,11251502521,15.04128724472973390190
15,32,0.869997,10174485240,545031093,10719516333,15.86564301664857494058
16,32,0.882103,8366927569,580237895,8947165464,19.29319327372798008740
17,32,0.877234,7896096097,561664499,8457760596,20.44361526417223389574
18,32,0.878923,7681567160,565664799,8247231959,21.01455957276301415556
19,32,0.82992,8171677110,546149299,8717826409,19.75417634875198831736
20,32,0.860009,6863703194,543302308,7407005502,23.51860885201324747143
21,32,0.8627,6627147534,544563603,7171711137,24.35810427756805692987
22,32,0.88702,6319864332,548285902,6868150234,25.54243923855167971982
23,32,0.882474,6165149430,556921303,6722070733,26.18342872769589949744
24,32,0.840543,6018479500,560838800,6579318300,26.82151707852456754235
25,32,0.887363,5746718078,555099098,6301817176,28.08990253306106240487
26,32,0.880386,5645980180,608792796,6254772976,28.59109411468036715637
27,32,0.824923,5607128174,580404296,6187532470,28.78920290149942985769
28,32,0.882977,5392557174,547497898,5940055072,29.93473142469458034530
29,32,0.874971,6074880791,584714494,6659595285,26.57249685214440284479
30,32,0.878811,4967124975,563102796,5530227771,32.49862878596083642932
31,32,0.85688,5227212052,606569495,5833781547,30.88161511148888053566
32,32,0.867574,5688841334,606267993,6295109327,28.37568165791983397932
